"Nim's Island","2008","10488"
"The Ruins","2008","11152"
"Shine a Light","2008","7944"
"Prom Night","2008","8617"
"Smart People","2008","12890"
"Street Kings","2008","1266"
"The Visitor","2008","12473"
"88 Minutes","2008","3489"
"Anamorph","2008","14000"
"Expelled: No Intelligence Allowed","2008","13359"
"The Forbidden Kingdom","2008","1729"
"Forgetting Sarah Marshall","2008","9870"
"The Life Before Her Eyes","2008","13079"
"Where in the World Is Osama bin Laden?","2008","12179"
"Young@Heart","2008","21182"
"Baby Mama","2008","8780"
"Deal","2008","11115"
"Deception","2008","13018"
"Harold & Kumar Escape from Guantanamo Bay","2008","13335"
"Rogue","2008","13022"
"Son of Rambow","2008","13258"
"Mister Lonely","2008","16135"
"Iron Man","2008","1726"
"Made of Honor","2008","10761"
"Redbelt","2008","12400"
"Then She Found Me","2008","13196"
"The Fall","2008","14784"
"Speed Racer","2008","7459"
"What Happens in Vegas","2008","9029"
"The Chronicles of Narnia: Prince Caspian","2008","2454"
